,NumB,Metric,accuracy
0,10,l2,0.5617977528089888
1,10,intersect,0.6966292134831461
2,10,chi2,0.6404494382022472
3,20,l2,0.5056179775280899
4,20,intersect,0.6966292134831461
5,20,chi2,0.5730337078651685
6,30,l2,0.47191011235955055
7,30,intersect,0.7303370786516854
8,30,chi2,0.5056179775280899
9,40,l2,0.4157303370786517
10,40,intersect,0.7303370786516854
11,40,chi2,0.449438202247191
12,50,l2,0.39325842696629215
13,50,intersect,0.7191011235955056
14,50,chi2,0.42696629213483145
15,60,l2,0.39325842696629215
16,60,intersect,0.7303370786516854
17,60,chi2,0.43820224719101125
18,70,l2,0.34831460674157305
19,70,intersect,0.7415730337078652
20,70,chi2,0.38202247191011235
21,80,l2,0.33707865168539325
22,80,intersect,0.6966292134831461
23,80,chi2,0.3595505617977528
24,90,l2,0.33707865168539325
25,90,intersect,0.7078651685393258
26,90,chi2,0.33707865168539325
27,100,l2,0.3258426966292135
28,100,intersect,0.6853932584269663
29,100,chi2,0.33707865168539325
30,110,l2,0.30337078651685395
31,110,intersect,0.6966292134831461
32,110,chi2,0.3146067415730337
33,120,l2,0.3258426966292135
34,120,intersect,0.6966292134831461
35,120,chi2,0.33707865168539325
36,130,l2,0.3146067415730337
37,130,intersect,0.7078651685393258
38,130,chi2,0.3258426966292135
39,140,l2,0.2808988764044944
40,140,intersect,0.6853932584269663
41,140,chi2,0.3146067415730337
42,150,l2,0.29213483146067415
43,150,intersect,0.6741573033707865
44,150,chi2,0.3146067415730337
45,160,l2,0.29213483146067415
46,160,intersect,0.6741573033707865
47,160,chi2,0.30337078651685395
48,170,l2,0.30337078651685395
49,170,intersect,0.6853932584269663
50,170,chi2,0.3146067415730337
51,180,l2,0.30337078651685395
52,180,intersect,0.6741573033707865
53,180,chi2,0.30337078651685395
54,190,l2,0.29213483146067415
55,190,intersect,0.6629213483146067
56,190,chi2,0.30337078651685395
